IMAGE,CURRENT_FIX_INDEX,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_DURATION,CURRENT_FIX_PUPIL,CURRENT_FIX_START,IMAGE_HEIGHT,IMAGE_WIDTH
cju0qx73cjw570799j4n5cjze.jpg,1,0.480208333,0.512239583,256,2146,7,529,619
cju0qx73cjw570799j4n5cjze.jpg,2,0.541796875,0.434635417,167,2237,287,529,619
cju0qx73cjw570799j4n5cjze.jpg,3,0.6203125,0.438932292,180,1887,475,529,619
cju0qx73cjw570799j4n5cjze.jpg,4,0.594010417,0.333463542,100,1680,673,529,619
cju0qx73cjw570799j4n5cjze.jpg,5,0.597786458,0.196744792,382,1527,794,529,619
cju0qx73cjw570799j4n5cjze.jpg,6,0.465625,0.142057292,269,1634,1204,529,619
cju0qx73cjw570799j4n5cjze.jpg,7,0.456901042,0.237890625,226,1823,1497,529,619
cju0qx73cjw570799j4n5cjze.jpg,8,0.557942708,0.275911458,126,2015,1987,529,619
cju0qx73cjw570799j4n5cjze.jpg,9,0.6828125,0.28515625,261,2177,2142,529,619
cju0qx73cjw570799j4n5cjze.jpg,10,0.689453125,0.41171875,331,2206,2428,529,619
cju0qx73cjw570799j4n5cjze.jpg,11,0.524348958,0.420442708,282,2201,2786,529,619
cju0qx73cjw570799j4n5cjze.jpg,12,0.347005208,0.445833333,305,2057,3098,529,619
cju0qx73cjw570799j4n5cjze.jpg,13,0.329036458,0.58984375,238,1933,3430,529,619
cju0qx73cjw570799j4n5cjze.jpg,14,0.437369792,0.699609375,306,1930,3693,529,619
cju0qx73cjw570799j4n5cjze.jpg,15,0.531510417,0.801041667,261,1949,4026,529,619
cju0qx73cjw570799j4n5cjze.jpg,16,0.779427083,0.898828125,679,1819,4606,529,619
cju0qx73cjw570799j4n5cjze.jpg,17,0.835677083,0.765494792,329,1790,5307,529,619
cju0qx73cjw570799j4n5cjze.jpg,18,0.709244792,0.746484375,316,1739,5682,529,619
cju0qx73cjw570799j4n5cjze.jpg,19,0.58203125,0.562630208,372,1833,6030,529,619
cju0qx73cjw570799j4n5cjze.jpg,20,0.478515625,0.444270833,196,1974,6429,529,619
cju0qx73cjw570799j4n5cjze.jpg,21,0.402604167,0.501041667,310,2022,6650,529,619
cju0qx73cjw570799j4n5cjze.jpg,22,0.626041667,0.776302083,311,1955,7015,529,619
cju0qx73cjw570799j4n5cjze.jpg,23,0.638802083,0.848697917,363,1933,7345,529,619
cju0qx73cjw570799j4n5cjze.jpg,24,0.770572917,0.87421875,357,1883,7740,529,619
cju0qx73cjw570799j4n5cjze.jpg,25,0.810546875,0.933333333,235,1832,8116,529,619
cju0qx73cjw570799j4n5cjze.jpg,26,0.759635417,0.759895833,338,2002,8408,529,619
cju0qx73cjw570799j4n5cjze.jpg,27,0.4796875,0.7125,490,1909,8798,529,619
cju0qx73cjw570799j4n5cjze.jpg,28,0.384114583,0.5890625,711,1969,9312,529,619
cju0qx73cjw570799j4n5cjze.jpg,29,0.709895833,0.553255208,139,1926,10074,529,619
cju0qx73cjw570799j4n5cjze.jpg,30,0.692057292,0.650520833,195,1938,10235,529,619
cju0qx73cjw570799j4n5cjze.jpg,31,0.690625,0.395182292,335,2118,10462,529,619
cju0qx73cjw570799j4n5cjze.jpg,32,0.658854167,0.264453125,287,2121,10824,529,619
cju0qx73cjw570799j4n5cjze.jpg,33,0.561067708,0.162630208,242,2159,11134,529,619
cju0qx73cjw570799j4n5cjze.jpg,34,0.4859375,0.118359375,306,2226,11393,529,619
cju0qx73cjw570799j4n5cjze.jpg,35,0.51953125,0.307161458,282,2248,11733,529,619
cju0qx73cjw570799j4n5cjze.jpg,36,0.5734375,0.419791667,297,2334,12042,529,619
cju0qx73cjw570799j4n5cjze.jpg,37,0.390234375,0.4171875,211,2350,12375,529,619
cju0qx73cjw570799j4n5cjze.jpg,38,0.336458333,0.502994792,395,2178,12606,529,619
cju0qx73cjw570799j4n5cjze.jpg,39,0.504166667,0.47421875,402,2128,13027,529,619
cju0roawvklrq0799vmjorwfv.jpg,1,0.613151042,0.432291667,213,2584,8,528,622
cju0roawvklrq0799vmjorwfv.jpg,2,0.827213542,0.460416667,256,2556,256,528,622
cju0roawvklrq0799vmjorwfv.jpg,3,0.571744792,0.221354167,241,2597,562,528,622
cju0roawvklrq0799vmjorwfv.jpg,4,0.57265625,0.177083333,381,2636,812,528,622
cju0roawvklrq0799vmjorwfv.jpg,5,0.659505208,0.212890625,364,2609,1215,528,622
cju0roawvklrq0799vmjorwfv.jpg,6,0.556380208,0.201041667,342,2728,1602,528,622
cju0roawvklrq0799vmjorwfv.jpg,7,0.559765625,0.247005208,210,2735,1951,528,622
cju0roawvklrq0799vmjorwfv.jpg,8,0.598177083,0.232682292,282,2757,2172,528,622
cju0roawvklrq0799vmjorwfv.jpg,9,0.606380208,0.130598958,257,2749,2476,528,622
cju0roawvklrq0799vmjorwfv.jpg,10,0.537239583,0.176692708,290,2804,2757,528,622
cju0roawvklrq0799vmjorwfv.jpg,11,0.565104167,0.223697917,146,2798,3065,528,622
cju0roawvklrq0799vmjorwfv.jpg,12,0.8421875,0.175390625,433,2693,3264,528,622
cju0roawvklrq0799vmjorwfv.jpg,13,0.80390625,0.286588542,292,2707,3722,528,622
cju0roawvklrq0799vmjorwfv.jpg,14,0.788151042,0.331510417,281,2703,4027,528,622
cju0roawvklrq0799vmjorwfv.jpg,15,0.823697917,0.396614583,197,2674,4319,528,622
cju0roawvklrq0799vmjorwfv.jpg,16,0.833854167,0.499348958,283,2643,4536,528,622
cju0roawvklrq0799vmjorwfv.jpg,17,0.898567708,0.543880208,255,2642,4841,528,622
cju0roawvklrq0799vmjorwfv.jpg,18,0.933333333,0.47578125,270,2622,5115,528,622
cju0roawvklrq0799vmjorwfv.jpg,19,0.930078125,0.398177083,202,2577,5393,528,622
cju0roawvklrq0799vmjorwfv.jpg,20,0.931510417,0.252473958,456,2522,5616,528,622
cju0roawvklrq0799vmjorwfv.jpg,21,0.88046875,0.147916667,575,2585,6090,528,622
cju0roawvklrq0799vmjorwfv.jpg,22,0.82734375,0.3390625,451,2679,6710,528,622
cju0roawvklrq0799vmjorwfv.jpg,23,0.801041667,0.454166667,338,2717,7185,528,622
cju0roawvklrq0799vmjorwfv.jpg,24,0.859375,0.537630208,265,2591,7536,528,622
cju0roawvklrq0799vmjorwfv.jpg,25,0.919791667,0.445572917,208,2596,7822,528,622
cju0roawvklrq0799vmjorwfv.jpg,26,0.899088542,0.311458333,356,2588,8051,528,622
cju0roawvklrq0799vmjorwfv.jpg,27,0.933984375,0.40546875,256,2587,8429,528,622
cju0roawvklrq0799vmjorwfv.jpg,28,0.947916667,0.46953125,422,2663,8699,528,622
cju0roawvklrq0799vmjorwfv.jpg,29,0.949739583,0.256510417,308,2754,9148,528,622
cju0roawvklrq0799vmjorwfv.jpg,30,0.882552083,0.174088542,521,2732,9466,528,622
